Year,Name,First Name,Last Name,Position,Height (Inches),Weight (Pounds),Forty Yard Dash (Seconds),Vertical Leap (Inches),Broad Jump (Inches),Round,Pick,College
1999,Patrick Kerney,Patrick,Kerney,DE,78,266,4.72,31,111,1,30,Virginia
1999,Eric King,Eric,King,OG,77,290,5.1,27,105,7,220,Richmond
1999,Lamar King,Lamar,King,DE,75,299,4.77,30,108,1,22,Saginaw Valley
1999,Shaun King,Shaun,King,QB,73,221,4.77,33,113,2,50,Tulane
1999,Jim Kleinsasser,Jim,Kleinsasser,TE,75,272,4.79,34.5,114,2,44,North Dakota
1999,Rob Konrad,Rob,Konrad,FB,75,251,4.62,36,113,2,43,Syracuse
1999,Kevin Landolt,Kevin,Landolt,DT,77,298,5.15,27,111,4,121,West Virginia
1999,David Loverne,David,Loverne,OG,75,292,5.19,25,96,3,90,San Jose State
1999,Mike Lucky,Mike,Lucky,TE,79,269,4.95,29,108,7,229,Arizona
1999,Joel Makovicka,Joel,Makovicka,FB,71,245,4.81,32.5,106,4,116,Nebraska
1999,Cecil Martin,Cecil,Martin,FB,73,239,4.83,35.5,110,6,172,Wisconsin
1999,Chris McAlister,Chris,McAlister,CB,73,205,4.53,38,121,1,10,Arizona
1999,Todd McClure,Todd,McClure,OC,74,298,5.24,28,98,7,237,LSU
1999,Daylon McCutcheon,Daylon,McCutcheon,CB,69,180,4.48,36,118,3,62,USC
1999,Darnell McDonald,Darnell,McDonald,WR,75,202,4.72,34,113,7,240,Kansas State
1999,Anthony McFarland,Anthony,McFarland,DT,73,299,4.85,28.5,120,1,15,LSU
1999,Wane McGarity,Wane,McGarity,WR,68,194,4.5,33,114,4,118,Texas
1999,Travis McGriff,Travis,McGriff,WR,68,185,4.53,35.5,113,3,93,Florida
1999,Mike McKenzie,Mike,McKenzie,FS,73,191,4.58,34,115,3,87,Memphis
1999,John McLaughlin,John,McLaughlin,OLB,75,247,4.67,31.5,107,5,150,California
1999,Donovan McNabb,Donovan,McNabb,QB,74,223,4.64,33,117,1,2,Syracuse
1999,Cade McNown,Cade,McNown,QB,73,213,4.73,33.5,113,1,12,UCLA
1999,Rondel Menendez,Rondel,Menendez,WR,69,178,4.24,37,117,7,247,Eastern Kentucky
1999,Billy Miller,Billy,Miller,WR,75,215,4.63,34.5,114,7,218,USC
1999,Kory Minor,Kory,Minor,OLB,73,244,4.72,31,112,7,234,Notre Dame
1999,Paul Miranda,Paul,Miranda,CB,70,180,4.42,40.5,125,4,96,UCF
1999,Donald Mitchell,Donald,Mitchell,CB,70,187,4.47,37,121,4,117,Southern Methodist
1999,Damon Moore,Damon,Moore,SS,71,209,4.6,35,118,4,128,Ohio State
1999,Dee Moronkola,Dee,Moronkola,CB,69,204,4.45,33.5,112,7,242,Washington State
1999,Edwin Mulitalo,Edwin,Mulitalo,OT,75,328,5.47,23.5,92,4,129,Arizona
1999,Hannibal Navies,Hannibal,Navies,OLB,75,239,4.64,33,114,4,100,Colorado
1999,Keith Newman,Keith,Newman,ILB,75,239,4.78,32,111,4,119,North Carolina
1999,Chike Okeafor,Chike,Okeafor,OLB,77,254,4.74,36.5,118,3,89,Purdue
1999,Solomon Page,Solomon,Page,OT,77,306,5.24,31.5,106,2,55,West Virginia
1999,Anthony Parker,Anthony,Parker,CB,73,197,4.39,31,113,4,99,Weber State
1999,DeMond Parker,DeMond,Parker,RB,70,189,4.49,41.5,120,5,159,Oklahoma
1999,Larry Parker,Larry,Parker,WR,73,200,4.46,35.5,118,4,108,USC
1999,Jeff Paulk,Jeff,Paulk,FB,73,242,4.69,35.5,116,3,92,Arizona State
1999,Jason Perry,Jason,Perry,FS,73,200,4.58,36.5,124,4,104,North Carolina State
1999,Mike Peterson,Mike,Peterson,OLB,74,233,4.47,36,118,2,36,Florida
1999,Luke Petitgout,Luke,Petitgout,OT,78,315,5.21,29,102,1,19,Notre Dame
1999,Zach Piller,Zach,Piller,OT,77,331,5.19,26.5,100,3,81,Florida
1999,Chad Plummer,Chad,Plummer,WR,75,233,4.57,33,113,6,204,Cincinnati
1999,Joey Porter,Joey,Porter,OLB,75,241,4.68,39,124,3,73,Colorado State
1999,Peerless Price,Peerless,Price,WR,71,180,4.55,35,116,2,53,Tennessee
1999,Pierson Prioleau,Pierson,Prioleau,FS,70,191,4.55,42,134,4,110,Virginia Tech
1999,Wali Rainer,Wali,Rainer,ILB,74,241,4.91,32,111,4,124,Virginia
1999,Montae Reagor,Montae,Reagor,DE,74,263,4.84,34.5,108,2,58,Texas Tech
1999,Jacoby Rhinehart,Jacoby,Rhinehart,CB,71,187,4.61,34,122,6,190,Southern Methodist
1999,Mike Rucker,Mike,Rucker,DE,77,260,4.85,33.5,115,2,38,Nebraska
1999,Grey Ruegamer,Grey,Ruegamer,OC,77,315,5.34,27.5,94,3,72,Arizona State
1999,Johnny Rutledge,Johnny,Rutledge,ILB,74,245,4.63,33,115,2,51,Florida
1999,Khari Samuel,Khari,Samuel,ILB,75,242,4.84,35,118,5,144,Massachusetts
1999,Talance Sawyer,Talance,Sawyer,DE,74,268,4.89,31.5,112,6,185,UNLV
1999,Brad Scioli,Brad,Scioli,DE,75,277,4.92,33.5,108,5,138,Penn State
1999,L.J. Shelton,L.J.,Shelton,OT,78,341,5.44,29.5,100,1,21,Eastern Michigan
1999,Scott Shields,Scott,Shields,SS,76,228,4.55,35,123,2,59,Weber State
1999,Aaron Smith,Aaron,Smith,DE,77,279,5.06,29.5,110,4,109,Northern Colorado
1999,Akili Smith,Akili,Smith,QB,75,227,4.66,34,114,1,3,Oregon
1999,Larry Smith,Larry,Smith,DT,77,288,5.12,30,111,2,56,Florida State
1999,Marquis Smith,Marquis,Smith,SS,75,218,4.6,39.5,133,3,76,California
